pop_density_min,num_ROI
50,370944
100,247038
150,187858
200,152132
250,127979
300,110089
350,95824
400,84462
450,75341
500,67907
550,61613
600,56315
650,51579
700,47433
750,43854
800,40716
850,37926
900,35426
950,33156
1000,31059
