pop_density_min,num_ROI
50,162188
100,108772
150,82624
200,66216
250,54639
300,46128
350,39616
400,34573
450,30457
500,27170
550,24480
600,22169
650,20203
700,18463
750,16936
800,15588
850,14466
900,13332
950,12335
1000,11439
